"Vapor, Error messages On, predictive",(MW),"(TC, K)","(PC, bara)",(OMEGA),(ZC),k(i),b(i),"(TB, K)","(Hvap, kJ/kg-mole)","(Hf298, kJ/g-mole)","(S298, J/g-mole/K)","(Gf298, kJ/g-mole)",(CPData),(NIST-TMN1),(NIST-TMX1),(NIST-A1),(NIST-B1),(NIST-C1),(NIST-D1),(NIST-E1),(NIST-F1),(NIST-G1),(NIST-H1),(NIST-TMN2),(NIST-TMX2),(NIST-A2),(NIST-B2),(NIST-C2),(NIST-D2),(NIST-E2),(NIST-F2),(NIST-G2),(NIST-H2),(NIST-TMN3),(NIST-TMX3),(NIST-A3),(NIST-B3),(NIST-C3),(NIST-D3),(NIST-E3),(NIST-F3),(NIST-G3),(NIST-H3),(NIST-TMN4),(NIST-TMX4),(NIST-A4),(NIST-B4),(NIST-C4),(NIST-D4),(NIST-E4),(NIST-F4),(NIST-G4),(NIST-H4),(NIST-TMN5),(NIST-TMX5),(NIST-A5),(NIST-B5),(NIST-C5),(NIST-D5),(NIST-E5),(NIST-F5),(NIST-G5),(NIST-H5),(NIST-TMN6),(NIST-TMX6),(NIST-A6),(NIST-B6),(NIST-C6),(NIST-D6),(NIST-E6),(NIST-F6),(NIST-G6),(NIST-H6)
C2H6(g),30.0694,305.32,48.7200865,0.099493,0.285,0.525412175,4.05379E-05,184.5,14706.76,-84.68416,229.5,-32.92808,NIST,100,500,41.54955232,-83.34130553,543.2552021,-461.2258257,-0.024867482,-20779.83721,21.73171532,0,500,1500,5.115892174,185.661947,-81.40412739,13.511799,-0.336354192,-20777.25907,-80.34509134,0,1500,2300,116.7535757,41.67536742,-10.62625199,0.93721316,-28.39504878,-20865.14689,18.65562634,0,2300,3000,200.8140426,-22.38877708,7.338511413,-0.802646327,-84.34981975,-20974.05145,50.23918917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C7H16(g),100.2029,540.2,27.40005206,0.349469,0.263,0.880647113,0.000127531,371.6,31697.984,-187.77792,328.5,7.99144,NIST,200,300,-55.87518748,753.0636594,0,-797.2749544,1.57162621,16735.52162,-277.2845727,0,500,1000,39.95718809,587.3215361,-297.2009308,55.03193433,-3.526976565,16697.19206,-134.8046528,0,1000,1500,5438.918669,-8372.498411,5224.029064,-1140.499555,-768.3952272,13471.74518,6080.476668,0,1500,3000,0,0,0,0,0,17156.9139,491.7459905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
